Rank;DokumentType;Titel;PopulærTitel;Ressort;AdministrerendeMyndighed;JournalNummer;Nummer;År;DokumentId;ACCN;Publiceringsmedie;UndtagetFraOffentliggørelse;GeografiskDækning;UnderskriftDato;PubliceretTidspunkt;SidstPubliceretTidspunkt;BekendtgørelsesDato;HistoriskDato;Historisk;RedaktionelNote;OmtryksNote;AlternativeMedierNote;AnfoerINote;HjemmelVedroerer;SenereAendringer;ÆndrerI;Tiltræder;EliUrl
B;Bekendtgørelse;Bekendtgørelse angaaende Vægtangivelse paa tungt Gods.;;Erhvervsministeriet;Søfartsstyrelsen;Ingen;208;1932;CM023459;B19320020805;Lovtidende A;;Fremgår af forskriften;19320709;19970924;20070719;19320727;;FALSE;;;;;A20220022129;;;;https://www.retsinformation.dk/eli/lta/1932/208
B;Bekendtgørelse;Bekendtgørelse om en midlertidig lokal lønkompensationsordning på Kulturministeriet og Børne- og Undervisningsministeriets område til foreninger, selvejende institutioner og fonde m.v. med primært offentlig finansiering, der er i økonomisk krise som følge af Coronavirussygdom 2019 (COVID-19);;Kulturministeriet;Kulturministeriet;Kulturmin., j.nr. 22/52823;1193;2022;AK002018;B20220119305;Lovtidende A;;Fremgår af forskriften;20220818;20220827;20220827;20220827;;FALSE;;;;;A20220904516;;;;https://www.retsinformation.dk/eli/lta/2022/1193
L;Bekendtgørelse (international);Bekendtgørelse om aftale af 4. august 1995 om gennemførelsen af bestemmelserne i De Forenede Nationers havretskonvention af 10. december 1982 vedrørende bevarelse og forvaltning af fælles fiskebestande og stærkt vandrende fiskebestande;;Udenrigsministeriet;;Udenrigsmin. EUK j.nr. 400.M.34.;22;2004;AS000656;L20040002264;Lovtidende C;;Fremgår af forskriften;20040805;20040819;20041104;20040818;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ltc/2004/22
B;Ændringsbekendtgørelse;Bekendtgørelse om ændring af bekendtgørelse om ajourføring af Bygnings- og Boligregistret (BBR);;Skatteministeriet;SKAT;Skattemin., j.nr. 16-1077040;1315;2016;AN012760;B20160131505;Lovtidende A;;Fremgår af forskriften;20161111;20161112;20161112;20161112;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/lta/2016/1315
B;Bekendtgørelse;Bekendtgørelse om donordyr og ind- og udførsel af avlsmateriale;;Ministeriet for Fødevarer, Landbrug og Fiskeri;Fødevarestyrelsen;Miljø- og Fødevaremin.,\nFødevarestyrelsen, j.nr. 2015-14-31-00146;1236;2015;CK000176;B20150123605;Lovtidende A;;Fremgår af forskriften;20151110;20151111;20151111;20151111;;FALSE;;;;;A20220000929;;;;https://www.retsinformation.dk/eli/lta/2015/1236
B;Bekendtgørelse;Bekendtgørelse om en midlertidig kompensationsordning i perioden 1. december 2021 til 28. februar 2022 for selvstændige i økonomisk krise som følge COVID-19;;Erhvervsministeriet;;Erhvervsmin.,\nErhvervsstyrelsen, j.nr. 2022-1706;88;2022;CQ002068;B20220008805;Lovtidende A;;Fremgår af forskriften;20220120;20220122;20220122;20220122;;FALSE;;;;;A20180151830;;;;https://www.retsinformation.dk/eli/lta/2022/88
B;Bekendtgørelse;Bekendtgørelse om behandling af personoplysninger i Det Centrale Kriminalregister (Kriminalregisteret);;Justitsministeriet;;Justitsmin., j.nr. 2021-10-0683;1860;2021;AA012630;B20210186005;Lovtidende A;;Fremgår af forskriften;20210923;20210929;20210929;20210929;;FALSE;;;;;A20170041030,A20190127029;BEK nr 260 af 24/02/2022;;;https://www.retsinformation.dk/eli/lta/2021/1860
C;Cirkulære (1 sp);Cirkulære om Binævnet;;Ministeriet for Fødevarer, Landbrug og Fiskeri;Landbrugsstyrelsen;Ministeriet for Fødevarer, Landbrug og Fiskeri,\nLandbrugsstyrelsen, j.nr. 21-5010-000004;9928;2021;DC000349;C20210992809;Retsinformation;;Fremgår af forskriften;20211112;20211116;20211116;;;FALSE;;;;;A20170001329;;;;https://www.retsinformation.dk/eli/retsinfo/2021/9928
L;Bekendtgørelse (international);Bekendtgørelse af aftale af 9. juni 1992 mellem Grønland/Danmark og Norge om gensidige fiskeriforbindelser;;Udenrigsministeriet;Udenrigsministeriet;Udenrigsmin.N.5.j.nr.63.Grønl.-Norge;67;1994;CM030499;L19940006764;Lovtidende C;;Fremgår af forskriften;19940707;19971001;20040812;19940720;;FALSE;;;;;;;;;https://www.retsinformation.dk/eli/ltc/1994/67
A;Lovbekendtgørelse;Bekendtgørelse af lov om vurdering og styring af oversvømmelsesrisikoen fra vandløb og søer;;Miljøministeriet;Kystdirektoratet;Miljø- og Fødevaremin.,\nKystdirektoratet, j.nr. 17/02588;1085;2017;CK001415;A20170108529;Lovtidende A;;Fremgår af forskriften;20170922;20170923;20170923;20170923;;FALSE;;;;;;LOV nr 900 af 21/06/2022;;;https://www.retsinformation.dk/eli/lta/2017/1085
